Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Verts_Inverts_Plants_Without_Pests,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale,Scale_Cat
Ande01 ,p30,sub18,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2888202,60,3000_m_R,LandscapeScale_2
Ande01 ,p30,sub19,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.000305594,60,100_m_R,A_LocalScale
Ande01 ,p30,sub20,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.0966444,60,100_m_R,A_LocalScale
Ande01 ,p30,sub21,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02412798,60,100_m_R,A_LocalScale
Ande01 ,p30,sub22,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02072019,60,250_m_R,A_LocalScale
Ande01 ,p30,sub23,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05034217,60,250_m_R,A_LocalScale
Ande01 ,p30,sub24,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.06810911,60,250_m_R,A_LocalScale
Ande01 ,p30,sub25,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.06869595,60,500_m_R,LandscapeScale_1
Ande01 ,p30,sub26,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.03682664,60,500_m_R,LandscapeScale_1
Ande01 ,p30,sub27,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02581636,60,500_m_R,LandscapeScale_1
